imagename,annotatedname
Bent Cure 0Pa TestName_20201222_165250.586_C001.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C001.png
Bent Cure 0Pa TestName_20201222_165250.586_C002.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C002.png
Bent Cure 0Pa TestName_20201222_165250.586_C003.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C003.png
Bent Cure 0Pa TestName_20201222_165250.586_C004.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C004.png
Bent Cure 0Pa TestName_20201222_165250.586_C005.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C005.png
Bent Cure 0Pa TestName_20201222_165250.586_C006.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C006.png
Bent Cure 0Pa TestName_20201222_165250.586_C007.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C007.png
Bent Cure 0Pa TestName_20201222_165250.586_C008.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C008.png
Bent Cure 0Pa TestName_20201222_165250.586_C009.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C009.png
Bent Cure 0Pa TestName_20201222_165250.586_C010.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C010.png
Bent Cure 0Pa TestName_20201222_165250.586_C011.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C011.png
Bent Cure 0Pa TestName_20201222_165250.586_C012.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C012.png
Bent Cure 0Pa TestName_20201222_165250.586_C013.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C013.png
Bent Cure 0Pa TestName_20201222_165250.586_C015.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C015.png
Bent Cure 0Pa TestName_20201222_165250.586_C016.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C016.png
Bent Cure 0Pa TestName_20201222_165250.586_C017.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C017.png
Bent Cure 0Pa TestName_20201222_165250.586_C018.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C018.png
Bent Cure 0Pa TestName_20201222_165250.586_C019.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C019.png
Bent Cure 0Pa TestName_20201222_165250.586_C020.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C020.png
Bent Cure 0Pa TestName_20201222_165250.586_C021.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C021.png
Bent Cure 0Pa TestName_20201222_165250.586_C022.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C022.png
Bent Cure 0Pa TestName_20201222_165250.586_C023.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C023.png
Bent Cure 0Pa TestName_20201222_165250.586_C024.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C024.png
Bent Cure 0Pa TestName_20201222_165250.586_C025.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C025.png
Bent Cure 0Pa TestName_20201222_165250.586_C026.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C026.png
Bent Cure 0Pa TestName_20201222_165250.586_C027.jpg,Annotated_Bent Cure 0Pa TestName_20201222_165250.586_C027.png
